Sample ID,"Composite Depth, m",d13C,d180
758A 4-2 121,32.24,-0.05,3.29
758A 4-2 131,32.34,-0.04,3.21
758A 4-2 141,32.44,-0.15,3.3
758A 4-3 001,32.54,-0.33,3.54
758A 4-3 001,32.54,-0.21,3.72
758A 4-3 001,32.54,-0.29,3.61
758A 4-3 011,32.64,-0.38,3.74
758A 4-3 011,32.64,-0.51,3.49
758A 4-3 021,32.74,-0.38,3.9
758A 4-3 021,32.74,-0.37,3.89
758A 4-3 021,32.74,-0.4,3.86
758A 4-3 031,32.84,-0.15,3.13
758A 4-3 031,32.84,-0.13,3.8
758A 4-3 041,32.94,0.01,3.44
758A 4-3 051,33.04,0.22,3.3
758A 4-3 061,33.14,0.16,3.03
758A 4-3 061,33.14,0.13,3.08
758A 4-3 071,33.24,0.11,3.23
758A 4-3 071,33.24,0.02,3.38
758A 4-3 081,33.34,-0.21,3.3
758A 4-3 091,33.44,-0.1,2.74
758A 4-3 091,33.44,-0.3,3.31
758A 4-3 101,33.54,0,3.41
758A 4-3 101,33.54,-0.06,3.5
758A 4-3 111,33.64,0.02,3.33
758A 4-3 121,33.74,-0.21,3.33
758A 4-3 131,33.84,0.01,3.36
758A 4-3 131,33.84,-0.29,3.2
758A 4-3 141,33.94,-0.17,3.58
758A 4-3 141,33.94,-0.03,3.57
758A 4-4 001,34.04,-0.17,3.46
758A 4-4001,34.04,-0.28,3.44
758A 4-4011,34.14,0.13,3.04
758A 4-4011,34.14,0.05,2.63
758A 4-4 021,34.24,0.05,2.97
758A 4-4 021,34.24,0.12,2.97
758A 4-4 031,34.34,-0.05,3.64
758A 4-4 031,34.34,-0.07,3.24
758A 4-4 041,34.44,-0.25,3.41
758A 4-4 041,34.44,-0.28,3.45
758A 4-4 041,34.44,-0.08,3.58
758A 4-4 051,34.54,-0.17,3.17
758A 4-4 051,34.54,-0.16,3.33
758A 4-4 051,34.54,0.38,3.2
758A 4-4 061,34.64,0.13,3.26
758A 4-4 061,34.64,0.01,3.13
