Exp,Site,Hole,Core,Section,Top offset cm,Bottom offset cm,Sample depth CSF m,Sample Depth CCSF m,U. peregrina δ13C (PDB‰),U. peregrina δ18O (PDB‰),U. peregrina size (mm) & note,U. auberiana size (mm) & note,U. auberiana δ18O (PDB‰),U. auberiana size (mm) & note,U. mediterranea δ13C (PDB‰),U. mediterranea δ18O (PDB‰),U. mediterranea size (mm) & note,U. spp δ13C (PDB‰),U. spp δ18O (PDB‰),U. spp size (mm) & note,C. brady δ13C (PDB‰),C. brady δ18O (PDB‰),C. brady size (mm) & note,C. lobatulus δ13C (PDB‰),C. lobatulus δ18O (PDB‰),C. lobatulus size (mm) & note,C. mundulus δ13C (PDB‰),C. mundulus δ18O (PDB‰),C. mundulus size (mm) & note,C. robertsonianus δ13C (PDB‰),C. robertsonianus δ18O (PDB‰),C. robertsonianus size (mm) & note,C. wuellerstorfi δ13C (PDB‰),C. wuellerstorfi δ18O (PDB‰),C. wuellerstorfi size (mm) & note,C. spp δ13C (PDB‰),C. spp δ18O (PDB‰),C. spp size (mm) & note
363,U1489,D,6,4,65,67,46.86,51.51,,,,,,,,,,,,,,,,,,,0.18,3.282,0.5-0.75 ,,,,,,,,,
363,U1489,D,6,4,115,117,47.36,52.01,,,,,,,,,,,,,,,,,,,0.158,2.739,0.5-0.7 ,,,,,,,,,
363,U1489,D,6,5,15,17,47.86,52.51,,,,,,,,,,-1.17,3.97,0.5-0.7 frag.,,,,,,,-0.494,3.299,0.4-0.5  frag.,,,,,,,,,
363,U1489,D,6,5,65,67,48.36,53.01,,,,,,,,,,,,,,,,,,,0.29,2.579,0.6,,,,,,,,,
363,U1489,D,6,5,115,117,48.86,53.51,-0.73,3.56,0.7-0.8,,,,,,,,,,,,,,,,-0.01,3.382,0.75,,,,,,,,,
363,U1489,D,6,6,15,17,49.36,54.01,,,,,,,,,,,,,,,,,,,0.218,2.88,0.5,,,,,,,,,
363,U1489,D,6,6,65,67,49.86,54.51,-0.89,4.08,0.6-0.8,,,,,,,,,,,,,,,,-0.027,3.348,0.75,,,,,,,,,
363,U1489,D,6,6,115,117,50.36,55.01,-1.3,4.06,0.6-0.7,,,,,,,,,,,,,,,,-0.273,3.424,0.6,,,,,,,,,
363,U1489,D,6,7,15,17,50.86,55.51,-0.64,3.06,0.75,,,,,,,,,,,,,,,,0.322,2.866,0.5-0.6,0.149,2.402,0.5,,,,,,
363,U1489,C,6,5,75,77,48.26,55.51,-0.71,3.47,0.75,,,,,,,,,,,,,,,,0.103,2.987,0.5-0.7,,,,,,,,,
363,U1489,C,6,5,125,127,48.76,56.01,-0.79,3.41,0.75,,,,,,,,,,,,,,,,0.102,2.828,0.5-0.6,,,,,,,,,
363,U1489,C,6,6,25,27,49.26,56.51,-0.43,3.26,0.75,,,,,,,,,,,,,,,,0.056,2.923,0.5-0.6,,,,,,,,,
363,U1489,C,6,6,75,77,49.76,57.01,-0.9,3.7,0.75,,,,,,,,,,,,,,,,-0.203,3.239,0.5-0.6,,,,,,,,,
363,U1489,C,6,6,125,127,50.26,57.51,-0.51,3.33,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,U1489,C,6,7,25,27,50.76,58.01,-0.74,3.43,0.75,,,,,,,,,,,,,,,,0.125,3.028,0.5-0.6,,,,,,,,,
363,U1489,D,7,1,115,117,52.36,58.02,-0.6,3.66,0.75,,,,,,,,,,,,,,,,0.203,3.169,0.4-0.5,,,,,,,,,
363,U1489,D,7,2,15,17,52.86,58.52,-0.59,3.24,0.75,,,,,,,,,,,,,0.152,2.859,0.5,0.318,2.928,0.4-0.6,,,,,,,,,
363,U1489,D,7,2,65,67,53.36,59.02,-0.65,3.67,0.75,,,,,,,,,,,,,0.111,2.496,0.5,0.273,2.825,0.6-0.7,,,,,,,,,
363,U1489,D,7,2,115,117,53.86,59.52,,,,,,,,,,-0.85,3.37,0.75,,,,,,,-0.051,3.167,0.5,,,,,,,,,
363,U1489,D,7,3,15,17,54.36,60.02,-0.82,3.27,0.75,,,,,,,,,,,,,0.098,2.485,0.5-0.75,,,,,,,,,,,,
363,U1489,D,7,3,65,67,54.86,60.52,-0.89,3.56,0.75,,,,,,,,,,,,,-0.035,2.722,0.4-0.5,,,,,,,0.055,2.834,0.8,,,
363,U1489,D,7,3,115,117,55.36,61.02,-0.7,3.47,0.75,,,,,,,,,,,,,,,,0.022,2.801,0.5-0.6,,,,,,,,,
363,U1489,D,7,4,15,17,55.86,61.52,-1.11,3.69,0.75,,,,,,,,,,,,,-0.333,2.992,0.5-0.7,-0.17,3.268,0.5-0.6,,,,,,,,,
363,U1489,D,7,4,65,67,56.36,62.02,-1,3.24,0.75,,,,,,,,,,,,,-0.176,2.487,0.5,-0.095,2.788,0.5,,,,,,,,,
363,U1489,D,7,4,115,117,56.86,62.52,-0.63,3.11,0.6-0.8,,,,,,,,,,,,,,,,0.078,2.497,0.6,,,,,,,,,
363,U1489,D,7,5,15,17,57.36,63.02,-0.55,3.24,0.75,,,,,,,,,,,,,,,,0.161,2.937,0.6,,,,,,,0.143,2.493,"0.5, C.r+C.l"
363,U1489,D,7,5,65,67,57.86,63.52,-0.61,2.93,0.75,,,,,,,,,,,,,,,,-0.018,3.023,0.5,,,,,,,,,
363,U1489,C,7,3,130,132,55.31,63.66,-0.64,3.24,0.75,,,,,,,,,,,,,,,,0.16,2.784,0.7,,,,,,,,,
363,U1489,C,7,4,30,32,55.81,64.16,-0.94,3.44,0.75,,,,,,,,,,,,,-0.405,2.822,0.5,-0.366,3.194,0.5,,,,,,,,,
363,U1489,C,7,4,80,82,56.31,64.66,-0.86,3.09,0.75,,,,,,,,,,,,,,,,,,,-0.248,2.621,0.7-0.8,,,,,,
363,U1489,C,7,4,130,132,56.81,65.16,-0.57,3.3,0.75,,,,,,,,,,,,,,,,0.198,2.678,0.5,,,,,,,,,
363,U1489,C,7,5,30,32,57.31,65.66,-0.55,3.06,0.75,,,,,,,,,,,,,,,,0.323,2.604,0.6,,,,,,,,,
363,U1489,C,7,5,80,82,57.81,66.16,,,,-0.53,3.17,0.6,,,,,,,,,,,,,0.225,2.697,0.6-0.7,,,,,,,,,
