mcd,ageSBP90,C13,O18
8434.5,2021,1.33,2.66
8462.5,2026.5,1.12,2.74
8492.5,2032.4,1.26,2.81
8509.5,2035.8,1,2.95
8522.5,2038.3,1.22,3.09
8539.5,2041.7,1.13,3.15
8556.5,2045,0.88,3.15
8569.5,2048.2,1.26,3.01
8584.5,2052,0.78,2.94
8606.5,2057.5,0.79,2.93
8616.5,2060,0.69,2.91
8644.5,2075.6,0.84,3.08
8659.5,2084,0.56,3.59
8674.5,2086,0.29,3.41
8689.5,2088.1,0.4,3.6
8706.5,2090.4,0.45,3.54
8719.5,2092.1,0.45,3.42
8734.5,2094.2,0.62,3.39
8756.5,2097.1,0.68,3.13
8762.5,2097.9,0.88,3.13
8781.5,2100.5,0.94,3.03
8792.5,2102,0.99,2.86
8809.5,2104.5,0.83,3.05
8826.5,2107,0.76,2.97
8839.5,2108.9,0.79,3.07
8856.5,2111.4,1.06,2.85
8869.5,2113.4,0.93,2.69
8888.5,2116.2,0.61,2.73
8906.5,2118.8,0.63,2.82
8914.5,2120,0.65,2.73
8931.5,2124.1,0.57,3.25
8944.5,2127.2,0.7,3.1
8974.5,2134.4,1.04,2.65
8989.5,2138,0.98,2.52
9004.5,2142.9,0.78,2.71
9019.5,2147.9,0.49,2.9
9056.5,2160,0.26,3.54
9062.5,2162,0.33,3.72
9092.5,2168.4,0.01,3.49
9122.5,2174.8,0.42,3.22
9139.5,2178.4,0.76,3.2
9156.5,2182,0.94,2.9
9169.5,2184.8,0.87,2.95
9180.5,2187.1,0.85,2.79
9194.5,2190.1,1.03,2.75
9210.5,2193.5,0.77,2.95
9224.5,2196.5,0.96,2.95
9240.5,2199.9,0.87,2.98
9254.5,2202.9,0.64,3.11
9270.5,2206.3,0.51,3.08
9284.5,2209.3,0.89,2.74
9295.5,2211.6,0.97,2.97
9310.5,2214.8,0.87,2.91
9332.5,2219.5,0.64,2.9
9340.5,2221.2,0.7,2.79
9357.5,2224.8,0.78,2.75
9370.5,2227.6,0.36,2.88
9400.5,2234,0.58,2.54
9430.5,2239.9,0.55,2.97
9445.5,2242.8,0.3,3.48
9460.5,2245.8,0.59,3.06
9482.5,2250.1,0.76,3.08
9490.5,2251.7,0.58,2.92
9507.5,2255,1.13,2.67
9520.5,2257.6,0.95,2.61
9565.5,2266.7,0.81,2.51
9580.5,2269.7,0.75,2.57
9595.5,2272.8,0.64,2.94
9610.5,2275.8,0.64,2.92
9632.5,2280.2,0.49,3.35
9642.5,2282.2,0.43,3.25
9657.5,2285.3,0.66,3.22
9700.5,2293.9,0.8,2.75
9715.5,2297,0.99,2.67
9730.5,2300,0.86,2.6
9745.5,2303.4,0.7,2.76
9760.5,2306.9,0.77,2.87
9782.5,2311.9,0.6,3
9790.5,2313.7,0.66,3
9820.5,2320.6,0.72,3.13
9835.5,2324,0.48,2.82
9865.5,2331.4,0.51,2.89
9895.5,2338.8,0.83,2.68
9932.5,2348,0.71,2.5
9940.5,2350.3,1.04,2.79
9957.5,2355.1,0.69,2.86
9970.5,2358.8,0.8,3.1
9985.5,2363,0.77,3.18
10000,2367.7,0.61,3.16
10031,2377.7,0.42,3.07
10046,2382.5,0.89,2.88
10060,2387,1,2.58
10082,2392,1.3,2.63
10091,2394,1.01,2.79
10108,2397.9,1.25,2.73
10120,2400.6,1.02,2.77
10136,2404.2,0.84,3.01
10166,2411,1.17,3.13
10239,2421.7,0.9,2.91
10240,2421.8,0.91,3.05
10248,2423,1.15,2.64
10270,2426.7,1.1,2.71
10278,2428.1,1.03,2.7
10293,2430.6,0.82,2.76
10308,2433.2,1.05,2.58
10323,2435.7,1.03,2.74
10335,2437.7,1.06,2.89
10350,2440.3,0.77,3.11
10372,2444,0.37,3.55
10380,2453,0.64,3.74
10397,2455,0.57,3.52
10410,2456.6,0.5,3.56
10440,2460.2,0.75,3.29
10455,2462,0.47,3.1
10485,2466.8,0.89,3.07
10522,2472.8,1.05,2.62
10530,2474.1,1.07,2.59
10575,2481.3,0.92,2.84
10590,2483.7,0.83,3.35
