Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
306,1313,B,7,H,3,1.5,1.5,56.4,
306,1313,B,7,H,4,1.5,1.5,57.9,
306,1313,B,7,H,5,1.5,1.5,59.4,
306,1313,B,7,H,6,1.5,1.5,60.9,
306,1313,B,7,H,7,0.5,0.5,62.4,
306,1313,B,7,H,CC(7),0.22,0.22,62.9,
306,1313,B,8,H,1,1.5,1.5,62.9,
306,1313,B,8,H,2,1.5,1.5,64.4,
306,1313,B,8,H,3,1.5,1.5,65.9,
306,1313,B,8,H,4,1.5,1.5,67.4,
306,1313,B,8,H,5,1.5,1.5,68.9,
306,1313,B,8,H,6,1.5,1.5,70.4,
306,1313,B,8,H,7,0.8,0.8,71.9,
306,1313,B,8,H,CC(7),0.27,0.27,72.7,
306,1313,B,9,H,1,1.5,1.5,72.4,
306,1313,B,9,H,2,1.5,1.5,73.9,
306,1313,B,9,H,3,1.5,1.5,75.4,
306,1313,B,9,H,4,1.5,1.5,76.9,
306,1313,B,9,H,5,1.5,1.5,78.4,
306,1313,B,9,H,6,1.5,1.5,79.9,
306,1313,B,9,H,7,0.7,0.7,81.4,
306,1313,B,9,H,CC(7),0.24,0.24,82.1,
306,1313,B,10,H,1,1.5,1.5,81.9,
306,1313,B,10,H,2,1.5,1.5,83.4,
306,1313,B,10,H,3,1.5,1.5,84.9,
306,1313,B,10,H,4,1.5,1.5,86.4,
306,1313,B,10,H,5,1.5,1.5,87.9,
306,1313,B,10,H,6,1.5,1.5,89.4,
306,1313,B,10,H,7,0.59,0.59,90.9,
306,1313,B,10,H,CC(7),0.23,0.23,91.49,
306,1313,B,11,H,1,1.5,1.5,91.4,
306,1313,B,11,H,2,1.5,1.5,92.9,
306,1313,B,11,H,3,1.5,1.5,94.4,
306,1313,B,11,H,4,1.5,1.5,95.9,
306,1313,B,11,H,5,1.5,1.5,97.4,
306,1313,B,11,H,6,1.5,1.5,98.9,
306,1313,B,11,H,7,0.75,0.75,100.4,
306,1313,B,11,H,CC(7),0.27,0.27,101.15,
306,1313,B,12,H,1,1.5,1.5,100.9,
306,1313,B,12,H,2,1.5,1.5,102.4,
306,1313,B,12,H,3,1.5,1.5,103.9,
306,1313,B,12,H,4,1.5,1.5,105.4,
306,1313,B,12,H,5,1.5,1.5,106.9,
306,1313,B,12,H,6,1.5,1.5,108.4,
306,1313,B,12,H,7,0.7,0.7,109.9,
306,1313,B,12,H,CC(7),0.26,0.26,110.6,
306,1313,B,13,H,1,1.5,1.5,110.4,
306,1313,B,13,H,2,1.5,1.5,111.9,
306,1313,B,13,H,3,1.5,1.5,113.4,
306,1313,B,13,H,4,1.5,1.5,114.9,
306,1313,B,13,H,5,1.5,1.5,116.4,
306,1313,B,13,H,6,1.5,1.5,117.9,
306,1313,B,13,H,7,0.72,0.72,119.4,
306,1313,B,13,H,CC(7),0.27,0.27,120.12,
306,1313,B,14,H,1,1.5,1.5,119.9,
306,1313,B,14,H,2,1.5,1.5,121.4,
306,1313,B,14,H,3,1.5,1.5,122.9,
