SectionLabel,Leg,Site,Hole,Core,Type,Section,LL(m),CL(m),Top(mbsf),Comment,CoreLabel,Bottom(mbsf),Top(mcd),Bottom(mcd),Filename
1313C_19H2,306,1313,C,19,H,2,1.5,1.5,165.7,,1313C_19,167.2,184.23,185.73,1313c_019h_02.jpg
1313C_19H3,306,1313,C,19,H,3,1.5,1.5,167.2,,1313C_19,168.7,185.73,187.23,1313c_019h_03.jpg
1313C_19H4,306,1313,C,19,H,4,1.5,1.5,168.7,,1313C_19,170.2,187.23,188.73,1313c_019h_04.jpg
1313C_19H5,306,1313,C,19,H,5,1.5,1.5,170.2,,1313C_19,171.7,188.73,190.23,1313c_019h_05.jpg
1313B_19H2,306,1313,B,19,H,2,1.5,1.5,168.9,,1313B_19,170.4,188.60999999999999,190.10999999999999,1313b_019h_02.jpg
1313B_19H3,306,1313,B,19,H,3,1.5,1.5,170.4,,1313B_19,171.9,190.10999999999999,191.60999999999999,1313b_019h_03.jpg
1313B_19H4,306,1313,B,19,H,4,1.5,1.5,171.9,,1313B_19,173.4,191.60999999999999,193.11,1313b_019h_04.jpg
1313B_19H5,306,1313,B,19,H,5,1.5,1.5,173.4,,1313B_19,174.9,193.11,194.61,1313b_019h_05.jpg
1313B_19H6,306,1313,B,19,H,6,1.5,1.5,174.9,,1313B_19,176.4,194.61,196.11,1313b_019h_06.jpg
1313C_20H2,306,1313,C,20,H,2,1.5,1.5,175.2,,1313C_20,176.7,195.10999999999999,196.60999999999999,1313c_020h_02.jpg
1313C_20H3,306,1313,C,20,H,3,1.5,1.5,176.7,,1313C_20,178.2,196.60999999999999,198.10999999999999,1313c_020h_03.jpg
1313C_20H4,306,1313,C,20,H,4,1.5,1.5,178.2,,1313C_20,179.7,198.10999999999999,199.60999999999999,1313c_020h_04.jpg
1313C_20H5,306,1313,C,20,H,5,1.5,1.5,179.7,,1313C_20,181.2,199.60999999999999,201.10999999999999,1313c_020h_05.jpg
1313C_20H6,306,1313,C,20,H,6,1.5,1.5,181.2,,1313C_20,182.7,201.10999999999999,202.60999999999999,1313c_020h_06.jpg
1313C_20H7,306,1313,C,20,H,7,0.58,0.58,182.7,,1313C_20,183.28,202.60999999999999,203.19,1313c_020h_07.jpg
1313B_20H4,306,1313,B,20,H,4,1.5,1.5,181.4,,1313B_20,182.9,202.11,203.61,1313b_020h_04.jpg
1313B_20H5,306,1313,B,20,H,5,1.5,1.5,182.9,,1313B_20,184.4,203.61,205.11,1313b_020h_05.jpg
1313B_20H6,306,1313,B,20,H,6,1.5,1.5,184.4,,1313B_20,185.9,205.11,206.61,1313b_020h_06.jpg
1313C_21H2,306,1313,C,21,H,2,1.5,1.5,184.7,,1313C_21,186.2,205.01,206.51,1313c_021h_02.jpg
