Age [ka BP],607,1308,925,659,664,1088,U1474,1090,U1475,758,1143,U1489,846,849,stack,1s,filt
76.0,1.2417533011272142,0.6360555555555556,0.9341342965756114,0.646322572815534,0.36,0.61,,0.29140259740259744,0.47999999999999854,0.12611195107630246,-0.004,-0.0039186046511626715,-0.08999999999999994,0.05249999999999999,0.40696754861785167,0.15454994747818507,0.1138299767768238
77.0,1.224168115942029,0.6519866666666667,1.037160645967418,0.6666776699029128,0.5028,0.6198,0.62759156420765,0.27218796257505934,0.497333333333332,0.14002149053441046,-0.00178,0.012755813953488505,-0.08719999999999997,0.1117,0.44822880450592617,0.13941024954549913,0.11382885129247758
78.0,1.2029681159420291,0.6650688888888889,1.127020399511371,0.6838750000000001,0.6032,0.6172,0.671992469262295,0.2587619047619049,0.5339999999999995,0.15393102999251848,0.0016799999999999996,0.029430232558139684,-0.08679999999999997,0.1593,0.47297343149408183,0.13740635067617685,0.11382773436076168
79.0,1.1832347826086955,0.6753022222222222,1.1415767107894284,0.7001250000000001,0.6612,0.6022000000000001,0.7050900102459016,0.2424761904761906,0.5659999999999994,0.1678405694506265,0.006379999999999999,0.04610465116279087,-0.08879999999999999,0.19529999999999997,0.486002152639704,0.13498102275951163,0.11382662596273288
80.0,1.1413064412238323,0.6826866666666667,1.1349519765430789,0.7163750000000001,0.6768,0.5748,0.7235900204918032,0.22592268907563043,0.5706666666666668,0.1817501089087345,0.01232,0.06277906976744203,-0.09319999999999999,0.2197,0.487889188524561,0.12987478769775737,0.1138255261233156
81.0,1.082411111111111,0.6872222222222222,1.107146196772322,0.7326250000000001,0.65,0.535,0.7154324999999999,0.234041736694678,0.5773333333333337,0.19565964836684252,0.0195,0.0794534883720932,-0.1,0.23249999999999998,0.4820232312051859,0.12460697597852827,0.11382443490320274
82.0,0.9854080610021783,0.688379365079365,1.0306238848748466,0.7150999999999998,0.6119000000000001,0.4984,0.6885914583333334,0.29118459383753537,0.631333333333334,0.20956918782495054,0.02347,0.09612790697674438,-0.10700000000000001,0.2347,0.47127055651873473,0.13075789014564917,0.11382335238998867
83.0,0.9035218657159829,0.6856285714285714,0.9460871233008179,0.6951583333333331,0.5936000000000001,0.4806,0.64639625,0.30354173669467793,0.661333333333334,0.22347872728305856,0.019780000000000006,0.11280232558139555,-0.11199999999999999,0.22729999999999997,0.45623059047651227,0.13484444507307097,0.1138222786897302
84.0,0.8681934706542546,0.6789698412698412,0.8535359120502359,0.6778925925925924,0.5951,0.4816,0.6032498154035488,0.3297560224089638,0.6640000000000008,0.2373882667411666,0.008430000000000014,0.12947674418604674,-0.11499999999999999,0.21030000000000001,0.4444923332361893,0.14171104362724476,0.11382121391682799
85.0,0.8594775526085497,0.6684031746031746,0.7552996178299017,0.6633027777777776,0.6164,0.5014000000000001,0.567946941666273,0.3122857142857145,0.6473333333333338,0.2512978061992746,-0.010579999999999975,0.14615116279069781,-0.11599999999999999,0.1837,0.43188700579247824,0.14189942012951104,0.11382015818394639
86.0,0.8740859587675175,0.6539285714285714,0.6656502339526327,0.6513888888888888,0.6575,0.54,0.5525476287881728,0.2519523809523811,0.6046666666666662,0.26520734565738263,-0.037249999999999964,0.15556976744186052,-0.11499999999999999,0.1475,0.4191248173245766,0.1374316462322876,0.1138191116020368
