Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),Holocene-LGM CaCO3 (%),Organic Carbon (%),CaCO3 (%),Productivity (mgC/m2/day),Sedimentation Rate (cm/ka)
DSDP,23,219,*,9.0292,72.8778,1764,None,FALSE,FALSE,FALSE,FALSE,FALSE,142.375,3.7307692307692335,0.6049941182136536,72.2325,464.6440124511719,0.6687654256820679
DSDP,23,220,*,6.5162,70.9837,4036,None,FALSE,FALSE,FALSE,FALSE,FALSE,136.875,3.7307692307692335,0.5902939438819885,56.795,282.66632080078125,0.3279908895492553
DSDP,23,222,*,20.0915,61.5093,3546,None,FALSE,FALSE,FALSE,FALSE,FALSE,116.0625,6.299999999999997,0.9744205474853516,51.037499999999994,1860.5787353515625,3.825304508209229
DSDP,23,223,*,18.7497,60.1297,3633,None,FALSE,FALSE,FALSE,FALSE,FALSE,129.6875,6.299999999999997,1.3116588592529297,51.5875,1894.4454345703125,2.414322853088379
DSDP,23,225,*,21.3097,38.2518,1228,None,FALSE,FALSE,FALSE,FALSE,FALSE,,,0.817042887,,250.22276306152344,
DSDP,23,227,*,21.331,38.1328,1795,None,FALSE,FALSE,FALSE,FALSE,FALSE,,,0.8142950534820557,,250.22276306152344,
DSDP,23,228,*,19.086,39.0033,1038,None,FALSE,FALSE,FALSE,FALSE,FALSE,,,0.7860236167907715,,315.7060547,
DSDP,23,229,*,14.7682,42.1912,852,None,FALSE,FALSE,FALSE,FALSE,TRUE,,,0.9619213938713074,,1185.9986572265625,
DSDP,23,230,*,15.3167,41.8342,832,None,FALSE,FALSE,FALSE,FALSE,FALSE,,,0.9071997404098512,,902.9958496,
DSDP,24,231,*,11.8902,48.2452,2152,None,FALSE,FALSE,FALSE,FALSE,TRUE,76.27272797,6.299999999999997,1.373354434967041,,491.1418151855469,12.855754852294922
DSDP,24,232,*,14.4822,51.9145,1743,None,FALSE,FALSE,FALSE,FALSE,FALSE,77.64286041259766,6.299999999999997,2.2429563999176025,67.83500000000001,3124.538818359375,5.967746257781982
DSDP,24,233,*,14.328,52.1352,1839,None,FALSE,FALSE,FALSE,FALSE,FALSE,90.33333587646484,6.299999999999997,2.2083258628845215,64.19666666666667,3784.295898,6.232176303863525
DSDP,24,234,*,4.4827,51.2247,4721,None,FALSE,FALSE,FALSE,FALSE,FALSE,161.5,6.299999999999997,0.4756473004817962,58.473333333333336,1092.5804443359375,1.6435730457305908
DSDP,24,235,*,3.2343,52.694,5130,None,FALSE,FALSE,FALSE,FALSE,FALSE,171.5,3.7307692307692335,0.4210534989833832,58.473333333333336,1002.010986328125,1.6139655113220217
DSDP,24,236,*,-1.677,57.6475,4487,None,FALSE,FALSE,FALSE,FALSE,FALSE,180.0625,3.7307692307692335,0.5726252794265747,65.07,270.5412292480469,0.3787932693958282
DSDP,24,237,*,-7.0832,58.1247,1623,None,FALSE,FALSE,FALSE,FALSE,FALSE,153.3125,3.7307692307692335,0.4040513038635254,87.1,306.7248840332031,0.726824939
DSDP,24,238,*,-11.1535,70.526,2832,None,FALSE,FALSE,FALSE,FALSE,FALSE,163.4375,-21.375,0.3882476091384887,82.97666666666666,191.6547393798828,0.139955461
DSDP,25,239,*,-21.2945,51.6788,4971,None,FALSE,FALSE,FALSE,FALSE,TRUE,202,15.75,0.6626905202865601,25.1,181.9905548095703,0.4700388610363006
DSDP,25,240,*,-3.4873,50.0537,5082,None,FALSE,FALSE,FALSE,FALSE,FALSE,183.75,3.7307692307692335,0.3869767785072326,,276.1597900390625,1.881956458091736
DSDP,25,241,*,-2.3707,44.6795,4054,None,FALSE,FALSE,FALSE,FALSE,FALSE,181.875,6.299999999999997,0.8393904566764832,,544.0056762695312,5.660125732421875
DSDP,25,242,*,-15.8442,41.8205,2275,None,FALSE,FALSE,FALSE,FALSE,FALSE,173.4375,15.75,0.8695564270019531,52.10999999999999,304.4282227,1.7639981508255005
DSDP,25,249,*,-29.9498,36.077,2098,None,FALSE,FALSE,FALSE,FALSE,FALSE,198.625,15.75,0.3914759457111358,64.71333333333332,275.54547119140625,1.2556897401809692
DSDP,26,250,*,-33.4623,39.3692,5119,None,FALSE,FALSE,FALSE,FALSE,FALSE,218.5625,-21.375,0.3775409460067749,33.41,327.0909423828125,1.370426058769226
DSDP,26,251,*,-36.5042,49.4858,3499,None,FALSE,FALSE,FALSE,FALSE,FALSE,205.25,-21.375,0.2959073185920715,83.0525,403.7737426757813,1.5828166007995603
DSDP,26,252,*,-37.0407,59.2388,5032,None,FALSE,FALSE,FALSE,FALSE,FALSE,216.375,21.505050505050505,0.3341995477676391,,441.6141052246094,0.4848936796188354
DSDP,26,253,*,-24.8775,87.3662,1962,None,FALSE,FALSE,FALSE,FALSE,FALSE,180.5625,-21.375,0.6263547539710999,91.25,145.80690002441406,1.3935372829437256
DSDP,26,254,*,-30.9692,87.8953,1253,None,FALSE,FALSE,FALSE,FALSE,FALSE,181.4375,-21.375,0.4052621126174927,90.53000000000002,191.8476104736328,1.547086238861084
DSDP,26,256,*,-23.4558,100.7743,5361,None,FALSE,FALSE,FALSE,FALSE,FALSE,185.625,-21.375,0.3711723089218139,2.92,211.0454102,0.4684904813766479
DSDP,26,257,*,-30.986,108.3498,5278,None,FALSE,FALSE,FALSE,FALSE,FALSE,205.625,-21.375,0.3907443284988403,,293.44085693359375,0.5143054723739624
DSDP,26,258,*,-33.7948,112.4737,2793,None,FALSE,FALSE,FALSE,FALSE,FALSE,187.375,-2,0.8019624948501587,79.5325,399.7012634277344,1.179314136505127
DSDP,27,259,*,-29.6175,112.6963,4696,None,FALSE,FALSE,FALSE,FALSE,FALSE,220.6875,-2,0.9903496503829956,78.53999999999999,346.7187194824219,1.2423102855682373
DSDP,27,260,*,-16.1445,110.2987,5702,None,FALSE,FALSE,FALSE,FALSE,FALSE,196,3.7307692307692335,0.5400513410568237,13.0175,196.3342132568359,0.2947876453399658
DSDP,27,262,*,-10.8698,123.8463,2298,None,FALSE,FALSE,FALSE,FALSE,FALSE,,-2,1.4059314727783203,53.955,321.3869629,
DSDP,27,263,*,-23.3238,110.9635,5048,None,FALSE,FALSE,FALSE,FALSE,FALSE,182.9375,-21.375,0.9012680053710938,42.1525,249.8296661376953,1.495245099067688
DSDP,28,264,*,-34.9688,112.0447,2876,None,FALSE,FALSE,FALSE,FALSE,FALSE,182.9375,-2,0.4528610408306122,81.17,415.1039733886719,
DSDP,28,265,*,-53.5408,109.9457,3581,Deep (>40 cm),FALSE,FALSE,FALSE,FALSE,FALSE,224.1875,-1.20361991,0.267045647,18.735,195.55636596679688,3.604050636291504
DSDP,28,266,*,-56.4022,110.1117,4167,None,FALSE,FALSE,FALSE,FALSE,FALSE,229.4375,-1.20361991,0.3043440282344818,0,171.39671325683594,2.121329545974731
