Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),CaCO3 (%),Productivity (mgC/m2/day),Organic Carbon (%),Sedimentation Rate (cm/ka)
DSDP,24,234,*,4.4827,51.2247,4721.0,None,False,False,False,False,False,161.5,58.473333333333336,1092.5804443359375,0.4756473004817962,1.6435730457305908
DSDP,24,235,*,3.2343,52.694,5130.0,None,False,False,False,False,False,171.5,58.473333333333336,1002.010986328125,0.4210534989833832,1.6139655113220217
DSDP,24,236,*,-1.677,57.6475,4487.0,None,False,False,False,False,False,180.0625,65.07,270.5412292480469,0.5726252794265747,0.3787932693958282
DSDP,24,237,*,-7.0832,58.1247,1623.0,None,False,False,False,False,False,153.3125,87.1,306.7248840332031,0.4040513038635254,0.726824939250946
DSDP,24,238,*,-11.1535,70.526,2832.0,None,False,False,False,False,False,163.4375,82.97666666666666,191.6547393798828,0.3882476091384887,0.139955461025238
DSDP,25,239,*,-21.2945,51.6788,4971.0,None,False,False,False,False,True,202.0,25.1,181.9905548095703,0.6626905202865601,0.4700388610363006
DSDP,25,240,*,-3.4873,50.0537,5082.0,None,False,False,False,False,False,183.75,,276.1597900390625,0.3869767785072326,1.881956458091736
DSDP,25,241,*,-2.3707,44.6795,4054.0,None,False,False,False,False,False,181.875,,544.0056762695312,0.8393904566764832,5.660125732421875
DSDP,25,242,*,-15.8442,41.8205,2275.0,None,False,False,False,False,False,173.4375,52.10999999999999,304.42822265625,0.8695564270019531,1.7639981508255005
DSDP,25,249,*,-29.9498,36.077,2098.0,None,False,False,False,False,False,198.625,64.71333333333332,275.54547119140625,0.3914759457111358,1.2556897401809692
DSDP,26,250,*,-33.4623,39.3692,5119.0,None,False,False,False,False,False,218.5625,33.41,327.0909423828125,0.3775409460067749,1.370426058769226
DSDP,26,251,*,-36.5042,49.4858,3499.0,None,False,False,False,False,False,205.25,83.0525,403.7737426757813,0.2959073185920715,1.5828166007995603
DSDP,26,252,*,-37.0407,59.2388,5032.0,None,False,False,False,False,False,216.375,,441.6141052246094,0.3341995477676391,0.4848936796188354
DSDP,26,253,*,-24.8775,87.3662,1962.0,None,False,False,False,False,False,180.5625,91.25,145.80690002441406,0.6263547539710999,1.3935372829437256
DSDP,26,254,*,-30.9692,87.8953,1253.0,None,False,False,False,False,False,181.4375,90.53000000000002,191.8476104736328,0.4052621126174927,1.547086238861084
DSDP,26,256,*,-23.4558,100.7743,5361.0,None,False,False,False,False,False,185.625,2.92,211.04541015625,0.3711723089218139,0.4684904813766479
DSDP,26,257,*,-30.986,108.3498,5278.0,None,False,False,False,False,False,205.625,,293.44085693359375,0.3907443284988403,0.5143054723739624
DSDP,26,258,*,-33.7948,112.4737,2793.0,None,False,False,False,False,False,187.375,79.5325,399.7012634277344,0.8019624948501587,1.179314136505127
DSDP,27,259,*,-29.6175,112.6963,4696.0,None,False,False,False,False,False,220.6875,78.53999999999999,346.7187194824219,0.9903496503829956,1.2423102855682373
DSDP,27,260,*,-16.1445,110.2987,5702.0,None,False,False,False,False,False,196.0,13.0175,196.3342132568359,0.5400513410568237,0.2947876453399658
DSDP,27,262,*,-10.8698,123.8463,2298.0,None,False,False,False,False,False,,53.955,321.386962890625,1.4059314727783203,
DSDP,27,263,*,-23.3238,110.9635,5048.0,None,False,False,False,False,False,182.9375,42.1525,249.8296661376953,0.9012680053710938,1.495245099067688
DSDP,28,264,*,-34.9688,112.0447,2876.0,None,False,False,False,False,False,182.9375,81.17,415.1039733886719,0.4528610408306122,
DSDP,28,265,*,-53.5408,109.9457,3581.0,Deep (>40 cm),False,False,False,False,False,224.1875,18.735,195.55636596679688,0.267045646905899,3.604050636291504
DSDP,28,266,*,-56.4022,110.1117,4167.0,None,False,False,False,False,False,229.4375,0.0,171.39671325683594,0.3043440282344818,2.121329545974731
DSDP,28,267,*,-59.2623,104.4883,4522.0,None,False,False,False,False,False,236.5625,0.0,151.52182006835938,0.280062735080719,1.877197861671448
DSDP,28,268,*,-63.9498,105.1557,3529.0,None,False,False,False,False,False,238.5,0.0,167.44622802734375,0.3552580773830414,3.689779043197632
DSDP,28,269,*,-61.6762,140.0702,4282.0,None,False,False,False,False,False,,1.3725,148.3641357421875,0.403543472290039,4.415529251098633
DSDP,28,270,*,-77.4413,-178.5032,633.0,None,False,False,False,False,False,226.3333282470703,3.1,,0.5815136432647705,
DSDP,28,273,*,-74.5382,174.6262,491.0,None,False,False,False,False,False,,2.095,360.2373962402344,0.4365202188491821,
DSDP,28,274,*,-68.9968,173.4273,3305.0,None,False,False,False,False,False,,,138.58251953125,0.3006327748298645,1.6317682266235352
DSDP,29,277,*,-52.2238,166.1913,1214.0,None,False,False,False,False,False,,50.64750000000001,420.6304016113281,0.3778910636901855,1.948889136314392
DSDP,29,278,*,-56.557,160.0715,3675.0,None,False,False,False,False,False,,,232.69300842285156,0.4929384589195251,1.4698758125305176
DSDP,29,280,*,-48.9573,147.2347,4176.0,None,False,False,False,False,False,,15.0,538.8505249023438,0.3623097836971283,1.616624355316162
DSDP,29,282,*,-42.246,143.4863,4202.0,None,False,False,False,False,True,,69.0825,912.8554077148438,0.9657137989997864,6.669321060180664
DSDP,29,284,*,-40.508,167.6802,1066.0,None,False,False,False,False,False,206.25,86.8075,655.8056640625,0.5882411599159241,
DSDP,30,285,*,-26.8193,175.804,4658.0,None,False,False,False,False,False,156.1875,18.205,242.1532287597656,0.3383061587810516,1.2585654258728027
DSDP,30,286,*,-16.532,166.3697,4465.0,None,False,False,False,False,True,147.875,32.7625,259.25506591796875,0.5779828429222107,0.2741918265819549
DSDP,30,287,*,-13.9112,153.2655,4632.0,None,False,False,False,False,False,178.4375,18.8925,176.15786743164062,0.9101080298423768,0.7624532580375671
DSDP,30,288,*,-5.9725,161.8255,3000.0,None,False,False,False,False,False,140.0,69.6225,230.25686645507812,0.8158761262893677,1.0400559902191162
DSDP,30,289,*,-0.4987,158.5115,2206.0,None,False,False,False,False,False,159.375,77.1625,251.3786163330078,0.7280757427215576,1.4726080894470217
DSDP,31,291,*,12.8072,127.8308,5217.0,None,False,False,False,False,True,154.5,0.145,157.7587127685547,0.420411467552185,0.224232941865921
DSDP,31,292,*,15.8185,124.6508,2943.0,None,False,False,False,False,False,148.875,0.0,173.6350860595703,0.8767948150634766,0.6444844603538513
DSDP,31,294,*,22.579,131.5355,5784.0,None,False,False,False,False,False,148.875,0.3475,150.29873657226562,0.3622347414493561,
DSDP,31,296,*,29.3402,133.5253,2920.0,Shallow (<40 cm),False,False,False,True,False,170.0625,9.0225,191.41928100585935,0.7301720380783081,2.3359625339508057
DSDP,31,299,*,39.4947,137.6618,2599.0,None,False,False,False,True,False,,0.0,612.5335083007812,0.7584293484687805,
DSDP,32,303,*,40.8083,154.4512,5609.0,None,False,False,False,False,True,169.875,1.795,715.4573364257812,0.8680760860443115,0.2633255422115326
