Leg,Site,H,Cor,T,Depth (mbsf),Format,DPI,Image Link,Filename
306,1314,A,2,H,7.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_002h_05.jpg,1314a_002h_05.jpg
306,1314,A,2,H,9.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_002h_06.jpg,1314a_002h_06.jpg
306,1314,A,2,H,10.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_002h_07.jpg,1314a_002h_07.jpg
306,1314,A,2,H,11.61,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_002h_cc.jpg,1314a_002h_cc.jpg
306,1314,A,3,H,11.4,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1314A3H.PDF,1314A3H.PDF
306,1314,A,3,H,11.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_003h_01.jpg,1314a_003h_01.jpg
306,1314,A,3,H,12.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_003h_02.jpg,1314a_003h_02.jpg
306,1314,A,3,H,14.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_003h_03.jpg,1314a_003h_03.jpg
306,1314,A,3,H,15.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_003h_04.jpg,1314a_003h_04.jpg
306,1314,A,3,H,17.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_003h_05.jpg,1314a_003h_05.jpg
306,1314,A,3,H,18.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_003h_06.jpg,1314a_003h_06.jpg
306,1314,A,3,H,20.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_003h_07.jpg,1314a_003h_07.jpg
306,1314,A,3,H,21.1,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_003h_cc.jpg,1314a_003h_cc.jpg
306,1314,A,4,H,20.9,PDF   ,300.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/IMAGES/1314A4H.PDF,1314A4H.PDF
306,1314,A,4,H,20.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_004h_01.jpg,1314a_004h_01.jpg
306,1314,A,4,H,22.4,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_004h_02.jpg,1314a_004h_02.jpg
306,1314,A,4,H,23.9,JPG   ,254.0,http://publications.iodp.org/proceedings/303_306/EXP_REPT/CORES/section/1314a/1314a_004h_03.jpg,1314a_004h_03.jpg
