"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%), CHNS with treated sample (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample treatment method (CHNS organic carbon)","Sample comments"
"354","U1454","A","1","H","2","","5.0","10.0","1.550","1.542","0.6000","5.000","","","","","","","",""
"354","U1454","A","1","H","2","","55.0","60.0","2.050","2.039","0.500","4.167","1.0000","","","","","0.50","",""
"354","U1454","A","1","H","2","","95.0","100.0","2.450","2.437","1.356","11.300","2.0000","","","","","0.64","",""
"354","U1454","A","1","H","2","","95.0","100.0","2.450","2.437","1.4000","11.666","","","","","","","",""
"354","U1454","A","1","H","3","W","118.0","120.0","4.180","4.158","0.836","6.966","1.5000","","","","","0.66","",""
"354","U1454","A","1","H","3","W","118.0","120.0","4.180","4.158","0.8000","6.666","","","","","","","",""
"354","U1454","A","1","H","3","W","133.0","135.0","4.330","4.307","0.784","6.533","0.9000","","","","","0.12","",""
"354","U1454","A","1","H","3","W","133.0","135.0","4.330","4.307","0.8000","6.666","","","","","","","",""
"354","U1454","A","1","H","6","W","2.0","4.0","6.920","6.883","0.500","4.167","0.6000","","","","","0.10","",""
"354","U1454","A","1","H","6","W","2.0","4.0","6.920","6.883","0.4873","4.061","","","","","","","",""
"354","U1455","B","1","H","1","W","89.0","91.0","0.890","0.890","0.600","5.000","","","","","","","",""
"354","U1455","B","1","H","3","W","36.0","38.0","2.830","2.830","0.356","2.967","","","","","","","",""
"354","U1455","B","1","H","6","W","77.0","79.0","6.460","6.460","0.259","2.158","","","","","","","",""
"355","U1456","A","1","H","2","","145.0","150.0","2.950","2.924","5.427","45.223","6.4113","","0.0912","Rejected","","0.98","","portion of SC"
"355","U1456","A","1","H","2","W","145.0","150.0","2.950","2.924","","","6.3410","","0.0940","0.0000","","","","portion of SC"
"355","U1456","A","1","H","3","W","92.0","94.0","3.920","3.886","7.045","58.706","7.4760","","0.0610","Not Run","","0.43","",""
"355","U1456","A","1","H","3","W","92.0","94.0","3.920","3.886","","","7.7390","","0.0538","Rejected","","","","portion of SC"
"355","U1457","A","1","H","4","W","28.0","30.0","4.000","3.982","6.513","54.273","7.2411","","0.0456","Rejected","","0.73","","CARB from MAD sample"
"355","U1457","A","1","H","6","","115.0","120.0","7.870","7.834","2.207","18.391","3.0408","","0.0903","Rejected","","0.83","","portion of SC"
"356","U1460","A","1","F","1","","98.0","103.0","0.980","0.966","10.948","91.230","11.4431","","0.0288","N.A","","0.50","",""
"356","U1463","B","1","H","4","","145.0","150.0","5.950","5.950","10.459","87.155","11.4572","","0.0572","0.0000","","1.00","",""
"356","U1464","B","1","H","1","","145.0","150.0","1.450","1.412","10.794","89.946","11.0704","","0.0291","0.0000","","0.28","",""
"359","U1465","A","1","H","1","W","69.0","71.0","0.690","0.687","11.237","93.638","","","","","","","",""
"359","U1465","A","1","H","2","W","57.0","59.0","1.960","1.952","11.312","94.263","","","","","","","",""
"359","U1465","A","1","H","3","W","69.0","71.0","3.250","3.236","10.696","89.130","10.2956","","0.1046","","","bdl","",""
"359","U1465","A","1","H","4","W","66.0","68.0","4.630","4.610","11.211","93.421","","","","","","","",""
"359","U1465","A","1","H","5","W","44.0","46.0","5.830","5.805","11.865","98.871","","","","","","","",""
"359","U1465","A","1","H","6","W","30.0","32.0","6.600","6.573","11.473","95.605","","","","","","","",""
"359","U1466","A","1","H","1","W","74.0","76.0","0.740","0.736","10.829","90.238","","","","","","","",""
"359","U1466","A","1","H","2","W","71.0","73.0","2.210","2.197","11.195","93.288","","","","","","","",""
"359","U1466","A","1","H","3","W","49.0","51.0","3.500","3.479","9.435","78.622","","","","","","","",""
"359","U1466","A","1","H","4","W","39.0","41.0","4.410","4.384","10.890","90.746","12.4421","","0.0862","","","1.55","",""
"359","U1467","A","1","H","1","W","74.0","76.0","0.740","0.740","9.711","80.922","10.7738","","0.1442","","","1.06","",""
"359","U1467","A","1","H","3","W","27.0","29.0","2.970","2.970","9.543","79.522","","","","","","","",""
"359","U1467","B","1","H","1","W","56.0","58.0","0.560","0.560","9.848","82.063","11.1596","","0.1419","0.0000","","1.31","",""
"359","U1467","B","1","H","3","W","43.0","45.0","2.830","2.830","9.078","75.647","","","","","","","",""
"359","U1468","A","1","H","1","W","74.0","76.0","0.740","0.740","11.298","94.146","11.6286","","0.1098","0.0000","","0.33","",""
"359","U1468","A","1","H","3","W","33.0","35.0","2.810","2.810","10.806","90.046","","","","","","","",""
"359","U1470","A","1","H","1","W","69.0","71.0","0.690","0.668","10.950","91.246","10.6844","","0.0920","","","bdl","",""
"359","U1471","A","1","H","1","W","60.0","62.0","0.600","0.597","10.840","90.330","","","","","","","",""
"359","U1471","A","1","H","3","W","49.0","51.0","3.200","3.186","9.759","81.322","11.2310","","0.0981","","","1.47","",""
"359","U1471","A","1","H","4","W","30.0","32.0","4.020","4.003","9.747","81.222","","","","","","","",""
"361","U1474","A","1","H","1","W","30.0","31.0","0.300","0.298","4.705","39.207","5.0276","0.0000","0.0984","","","0.32","",""
